Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_24_6,standard,153,317,2.759997732937336e-05,OPTIMAL,317,"[20, 1, 13, 5, 12, 3, 18, 11, 2, 7, 10, 8, 4, 23, 22, 21, 14, 9, 19, 16]"
in_house_24_7,standard,155,238,6.810005288571119e-05,OPTIMAL,238,"[20, 23, 9, 8, 17, 1, 16, 3, 12, 15, 11, 22, 7, 0, 18, 6, 4, 5, 21]"
in_house_24_8,standard,154,62,2.2699940018355846e-05,OPTIMAL,62,"[16, 22, 7]"
in_house_24_9,standard,154,326,3.130000550299883e-05,OPTIMAL,326,"[7, 12, 1, 16, 23, 9, 17, 15, 22, 5, 18, 4, 19, 10, 21, 0, 13, 6, 8, 2, 11, 20, 3]"
in_house_4_0,standard,21,2,9.7999582067132e-06,OPTIMAL,2,[0]
in_house_4_1,standard,21,8,1.3899989426136017e-05,OPTIMAL,8,"[3, 0, 2]"
in_house_4_10,standard,21,8,8.999952115118504e-06,OPTIMAL,8,"[1, 0]"
in_house_4_11,standard,21,11,4.509999416768551e-05,OPTIMAL,11,"[1, 2, 3]"
in_house_4_12,standard,21,4,2.189993392676115e-05,OPTIMAL,4,[1]
in_house_4_13,standard,21,12,1.479999627918005e-05,OPTIMAL,12,"[2, 3, 1]"
in_house_4_14,standard,21,10,1.0200077667832375e-05,OPTIMAL,10,"[2, 0, 1]"
in_house_4_15,standard,21,6,1.5700003132224083e-05,OPTIMAL,6,"[1, 3]"
in_house_4_16,standard,21,10,9.00006853044033e-06,SUBOPTIMAL,9,"[1, 3, 2]"
in_house_4_17,standard,22,9,3.6499928683042526e-05,OPTIMAL,9,"[3, 1, 0]"
in_house_4_18,standard,21,7,1.910002902150154e-05,OPTIMAL,7,"[0, 2, 1]"
in_house_4_19,standard,21,9,1.4300108887255192e-05,OPTIMAL,9,"[2, 3, 0]"
in_house_4_2,standard,21,7,1.5400000847876072e-05,OPTIMAL,7,"[1, 3, 0]"
in_house_4_20,standard,21,9,9.7999582067132e-06,OPTIMAL,9,"[3, 2, 1]"
in_house_4_21,standard,21,2,1.4099990949034691e-05,OPTIMAL,2,[2]
in_house_4_22,standard,21,5,1.9600032828748226e-05,OPTIMAL,5,"[2, 0, 1]"
in_house_4_23,standard,21,9,1.6600009985268116e-05,OPTIMAL,9,"[0, 2, 1]"
in_house_4_24,standard,21,4,1.0199961252510548e-05,OPTIMAL,4,[2]
in_house_4_3,standard,21,8,9.499955922365189e-06,OPTIMAL,8,"[1, 2, 3]"
in_house_4_4,standard,21,6,9.599956683814526e-06,OPTIMAL,6,"[2, 1, 0]"
in_house_4_5,standard,21,3,1.3199984095990658e-05,SUBOPTIMAL,2,[3]
in_house_4_6,standard,22,10,8.399994112551212e-05,SUBOPTIMAL,9,"[3, 0, 2]"
in_house_4_7,standard,21,10,1.6200006939470768e-05,OPTIMAL,10,"[3, 1, 0]"
in_house_4_8,standard,21,6,1.4299992471933365e-05,OPTIMAL,6,"[1, 2]"
in_house_4_9,standard,21,6,1.650000922381878e-05,OPTIMAL,6,"[1, 2, 3]"
in_house_8_0,standard,42,25,1.71000137925148e-05,OPTIMAL,25,"[0, 3, 6, 1, 5, 7]"
in_house_8_1,standard,41,20,4.2599975131452084e-05,OPTIMAL,20,"[4, 7, 0]"
in_house_8_10,standard,41,13,1.6200006939470768e-05,OPTIMAL,13,"[7, 4]"
in_house_8_11,standard,41,15,1.7400016076862812e-05,OPTIMAL,15,"[1, 6]"
in_house_8_12,standard,42,24,1.8900027498602867e-05,OPTIMAL,24,"[6, 5, 3, 7, 2]"
in_house_8_13,standard,41,15,1.680001150816679e-05,SUBOPTIMAL,14,"[7, 5]"
in_house_8_14,standard,41,8,1.8000020645558834e-05,OPTIMAL,8,"[2, 3]"
in_house_8_15,standard,41,10,1.8200022168457508e-05,SUBOPTIMAL,8,"[5, 3, 4]"
in_house_8_16,standard,42,12,7.130007725208998e-05,OPTIMAL,12,"[2, 7, 6]"
in_house_8_17,standard,41,9,1.580000389367342e-05,OPTIMAL,9,"[2, 6]"
in_house_8_18,standard,42,28,1.5099998563528061e-05,SUBOPTIMAL,27,"[5, 6, 4, 1]"
in_house_8_19,standard,42,35,9.499955922365189e-06,OPTIMAL,35,"[0, 3, 1, 4, 5, 2, 7]"
in_house_8_2,standard,42,23,8.79995059221983e-06,OPTIMAL,23,"[3, 0, 4, 7, 5]"
in_house_8_20,standard,42,28,1.9999919459223747e-05,SUBOPTIMAL,27,"[4, 7, 2, 6, 3, 0]"
in_house_8_21,standard,42,32,1.209997572004795e-05,OPTIMAL,32,"[0, 1, 4, 7, 5, 2, 3]"
in_house_8_22,standard,42,31,1.1599971912801266e-05,OPTIMAL,31,"[4, 3, 5, 7, 1]"
in_house_8_23,standard,41,8,9.999959729611874e-06,OPTIMAL,8,[2]
in_house_8_24,standard,42,35,8.70006624609232e-06,SUBOPTIMAL,34,"[1, 4, 7, 2, 6, 3]"
in_house_8_3,standard,42,28,7.3999399319291115e-06,OPTIMAL,28,"[3, 5, 4, 7, 2]"
in_house_8_4,standard,42,22,1.5600002370774746e-05,OPTIMAL,22,"[0, 1, 3, 2, 4, 5]"
in_house_8_5,standard,42,26,1.200009137392044e-05,SUBOPTIMAL,25,"[3, 1, 2, 5, 6, 0]"
in_house_8_6,standard,41,16,1.100008375942707e-05,OPTIMAL,16,"[5, 2, 6]"
in_house_8_7,standard,42,28,1.5499885194003582e-05,SUBOPTIMAL,27,"[7, 5, 0, 2, 1]"
in_house_8_8,standard,42,27,1.2200092896819115e-05,OPTIMAL,27,"[1, 2, 4, 0, 5, 7]"
in_house_8_9,standard,42,19,1.170008908957243e-05,OPTIMAL,19,"[0, 5, 3, 2]"
