Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_3,standard,21,8,1.780001912266016e-05,SUBOPTIMAL,5,"[0, 3, 2]"
in_house_4_4,standard,21,6,1.8799910321831703e-05,OPTIMAL,6,"[2, 1, 3]"
in_house_4_5,standard,21,3,1.3199984095990658e-05,OPTIMAL,3,[2]
in_house_4_6,standard,22,10,1.4699995517730713e-05,SUBOPTIMAL,8,"[2, 3, 1]"
in_house_4_7,standard,21,10,1.6000005416572094e-05,SUBOPTIMAL,8,"[2, 3, 0]"
in_house_4_8,standard,21,6,1.2299977242946625e-05,SUBOPTIMAL,5,"[1, 0]"
in_house_4_9,standard,21,6,1.5799887478351593e-05,OPTIMAL,6,"[2, 0, 1]"
in_house_8_0,standard,42,25,1.7700018361210823e-05,SUBOPTIMAL,19,"[0, 6, 7, 4, 2]"
in_house_8_1,standard,41,20,1.2499978765845299e-05,SUBOPTIMAL,18,"[0, 6, 4]"
in_house_8_10,standard,41,13,1.0899966582655907e-05,SUBOPTIMAL,10,"[0, 7]"
in_house_8_11,standard,41,15,1.650000922381878e-05,SUBOPTIMAL,9,"[3, 1]"
in_house_8_12,standard,42,24,4.8600020818412304e-05,SUBOPTIMAL,16,"[2, 5, 4, 6]"
in_house_8_13,standard,41,15,1.3699987903237343e-05,SUBOPTIMAL,1,[3]
in_house_8_14,standard,41,8,1.580000389367342e-05,SUBOPTIMAL,6,"[5, 3]"
in_house_8_15,standard,41,10,1.0199961252510548e-05,SUBOPTIMAL,8,"[3, 4, 5]"
in_house_8_16,standard,42,12,9.199953638017178e-06,SUBOPTIMAL,8,"[0, 4, 7]"
in_house_8_17,standard,41,9,8.600065484642982e-06,SUBOPTIMAL,1,[1]
in_house_8_18,standard,42,28,1.4099990949034691e-05,SUBOPTIMAL,16,"[2, 5, 0]"
in_house_8_19,standard,42,35,2.0000035874545574e-05,SUBOPTIMAL,34,"[6, 1, 3, 2, 4, 5, 0]"
in_house_8_2,standard,42,23,2.0600040443241596e-05,SUBOPTIMAL,14,"[1, 0, 3, 5]"
in_house_8_20,standard,42,28,2.259993925690651e-05,SUBOPTIMAL,14,"[5, 6, 2, 0, 3]"
in_house_8_21,standard,42,32,1.3399985618889332e-05,SUBOPTIMAL,26,"[0, 6, 1, 4, 2, 3, 5]"
in_house_8_22,standard,42,31,1.0100076906383038e-05,SUBOPTIMAL,19,"[4, 3, 6, 1]"
in_house_8_23,standard,41,8,9.70007386058569e-06,SUBOPTIMAL,4,[1]
in_house_8_24,standard,42,35,2.0200037397444248e-05,SUBOPTIMAL,26,"[3, 2, 0, 1, 5, 7]"
in_house_8_3,standard,42,28,6.0999998822808266e-05,OPTIMAL,28,"[0, 7, 3, 5, 2]"
in_house_8_4,standard,42,22,1.109996810555458e-05,SUBOPTIMAL,12,"[6, 7, 3, 1, 4]"
in_house_8_5,standard,42,26,8.800067007541656e-06,SUBOPTIMAL,22,"[7, 2, 6, 3, 1]"
in_house_8_6,standard,41,16,1.0200077667832375e-05,SUBOPTIMAL,14,"[4, 5, 2]"
in_house_8_7,standard,42,28,1.2199976481497288e-05,SUBOPTIMAL,15,"[5, 6, 2, 1]"
in_house_8_8,standard,42,27,1.0400079190731049e-05,SUBOPTIMAL,22,"[4, 1, 7, 3, 0, 5]"
in_house_8_9,standard,42,19,9.7999582067132e-06,SUBOPTIMAL,11,"[7, 2, 5]"
