Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_24_5,standard,154,262,1.6200006939470768e-05,OPTIMAL,262,"[16, 17, 7, 8, 21, 23, 3, 11, 15, 1, 4, 6, 5, 13, 10]"
in_house_24_6,standard,150,265,1.4899997040629387e-05,SUBOPTIMAL,262,"[20, 19, 21, 3, 12, 22, 14, 23, 4, 16, 2, 1, 5, 0, 7, 18, 17, 8]"
in_house_24_7,standard,155,271,2.400000812485814e-05,SUBOPTIMAL,261,"[4, 6, 16, 0, 2, 7, 11, 21, 1, 13, 5, 14, 23, 3, 9]"
in_house_24_8,standard,157,269,5.4800009820610285e-05,OPTIMAL,269,"[18, 2, 1, 0, 21, 14, 13, 3, 16, 11, 9, 10, 17, 7, 19, 5, 23, 15, 20, 22]"
in_house_24_9,standard,149,59,2.3699976736679673e-05,SUBOPTIMAL,24,[12]
in_house_4_0,standard,21,4,8.400005754083395e-06,OPTIMAL,4,[3]
in_house_4_1,standard,21,6,6.199989002197981e-06,OPTIMAL,6,"[1, 2]"
in_house_4_10,standard,21,8,6.400019628927112e-06,OPTIMAL,8,"[3, 1, 0]"
in_house_4_11,standard,21,11,1.069999416358769e-05,OPTIMAL,11,"[0, 2, 1]"
in_house_4_12,standard,21,7,1.0599993402138352e-05,OPTIMAL,7,"[3, 1]"
in_house_4_13,standard,21,8,1.3299984857439995e-05,OPTIMAL,8,"[0, 2]"
in_house_4_14,standard,21,10,1.0599993402138352e-05,OPTIMAL,10,"[1, 2, 3]"
in_house_4_15,standard,21,7,3.159997868351638e-05,OPTIMAL,7,"[3, 0, 2]"
in_house_4_16,standard,21,6,8.400005754083395e-06,OPTIMAL,6,"[0, 3]"
in_house_4_17,standard,21,9,8.000002708286047e-06,OPTIMAL,9,"[1, 3, 2]"
in_house_4_18,standard,21,8,5.5000127758830786e-06,OPTIMAL,8,"[1, 2]"
in_house_4_19,standard,21,6,1.1399999493733048e-05,OPTIMAL,6,"[1, 2]"
in_house_4_2,standard,21,7,1.0599993402138352e-05,OPTIMAL,7,"[3, 1]"
in_house_4_20,standard,21,4,7.199996616691351e-06,OPTIMAL,4,[3]
in_house_4_21,standard,21,2,7.099995855242014e-06,OPTIMAL,2,[3]
in_house_4_22,standard,21,7,4.2800005758181214e-05,OPTIMAL,7,"[1, 2, 3]"
in_house_4_23,standard,21,6,1.0000017937272787e-05,OPTIMAL,6,"[1, 3]"
in_house_4_24,standard,21,6,8.300004992634058e-06,OPTIMAL,6,"[3, 1]"
in_house_4_3,standard,21,11,1.479999627918005e-05,OPTIMAL,11,"[2, 3, 0]"
in_house_4_4,standard,21,6,1.1500000255182385e-05,OPTIMAL,6,"[0, 2]"
in_house_4_5,standard,22,10,1.1599971912801266e-05,OPTIMAL,10,"[2, 3, 0]"
in_house_4_6,standard,21,5,1.2699980288743973e-05,OPTIMAL,5,"[1, 2]"
in_house_4_7,standard,21,11,1.5199999324977398e-05,OPTIMAL,11,"[0, 1, 2]"
in_house_4_8,standard,21,8,9.600014891475439e-06,OPTIMAL,8,"[0, 3]"
in_house_4_9,standard,21,9,7.800001185387373e-06,OPTIMAL,9,"[3, 1, 2]"
in_house_8_0,standard,42,29,1.3999990187585354e-05,OPTIMAL,29,"[0, 5, 7, 3]"
in_house_8_1,standard,42,25,9.300012607127428e-06,OPTIMAL,25,"[6, 2, 1, 4]"
in_house_8_10,standard,41,22,7.599999662488699e-06,SUBOPTIMAL,16,"[0, 5]"
in_house_8_11,standard,42,17,1.09999964479357e-05,OPTIMAL,17,"[2, 0, 5]"
in_house_8_12,standard,41,8,8.400005754083395e-06,OPTIMAL,8,[5]
in_house_8_13,standard,42,31,1.7600017599761486e-05,OPTIMAL,31,"[0, 1, 6, 7, 2]"
in_house_8_14,standard,42,25,1.270000939257443e-05,SUBOPTIMAL,20,"[0, 5, 2]"
in_house_8_15,standard,42,18,1.3699987903237343e-05,SUBOPTIMAL,17,"[1, 0, 3]"
in_house_8_16,standard,42,21,9.100011084228754e-06,OPTIMAL,21,"[2, 3, 7]"
in_house_8_17,standard,42,26,8.400005754083395e-06,OPTIMAL,26,"[0, 1, 3, 2, 6, 5]"
in_house_8_18,standard,41,10,8.000002708286047e-06,SUBOPTIMAL,8,[1]
in_house_8_19,standard,42,16,1.2100004823878407e-05,SUBOPTIMAL,14,"[7, 3, 0]"
in_house_8_2,standard,42,30,8.600007276982069e-06,OPTIMAL,30,"[7, 0, 6, 2, 4, 3]"
in_house_8_20,standard,42,24,7.399998139590025e-06,SUBOPTIMAL,23,"[0, 1, 7, 4, 5]"
in_house_8_21,standard,41,20,1.270000939257443e-05,OPTIMAL,20,"[6, 4, 0]"
in_house_8_22,standard,42,31,5.4500007536262274e-05,OPTIMAL,31,"[0, 5, 7, 3, 4, 2]"
in_house_8_23,standard,42,12,1.3199984095990658e-05,SUBOPTIMAL,8,[2]
in_house_8_24,standard,42,25,8.300004992634058e-06,OPTIMAL,25,"[3, 7, 1, 0, 5]"
in_house_8_3,standard,42,20,9.100011084228754e-06,OPTIMAL,20,"[2, 4, 1]"
in_house_8_4,standard,41,14,1.3100012438371778e-05,OPTIMAL,14,"[1, 7]"
in_house_8_5,standard,42,32,1.0399991879239678e-05,OPTIMAL,32,"[7, 4, 6, 0, 1, 2]"
in_house_8_6,standard,42,24,1.3800017768517137e-05,OPTIMAL,24,"[1, 3, 4, 7]"
in_house_8_7,standard,42,21,1.6900012269616127e-05,OPTIMAL,21,"[1, 5, 4, 7]"
in_house_8_8,standard,41,15,1.479999627918005e-05,OPTIMAL,15,"[1, 4]"
in_house_8_9,standard,42,26,1.2600008631125093e-05,OPTIMAL,26,"[2, 6, 0, 1]"
