Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_4_20,standard,21,4,1.4199991710484028e-05,SUBOPTIMAL,3,[2]
in_house_4_21,standard,21,2,8.200004231184721e-06,OPTIMAL,2,[3]
in_house_4_22,standard,21,7,8.499977411702275e-06,SUBOPTIMAL,6,"[0, 1, 3]"
in_house_4_23,standard,21,6,1.4899997040629387e-05,OPTIMAL,6,"[3, 1]"
in_house_4_24,standard,21,6,1.6399979358538985e-05,OPTIMAL,6,"[1, 3]"
in_house_4_3,standard,21,11,2.020000829361379e-05,SUBOPTIMAL,10,"[3, 0, 1]"
in_house_4_4,standard,21,6,1.2500007869675756e-05,SUBOPTIMAL,5,"[2, 1]"
in_house_4_5,standard,22,10,7.499998901039362e-06,SUBOPTIMAL,7,"[0, 2, 1]"
in_house_4_6,standard,21,5,1.0899995686486363e-05,SUBOPTIMAL,1,[0]
in_house_4_7,standard,21,11,8.899980457499623e-06,OPTIMAL,11,"[0, 2, 1]"
in_house_4_8,standard,21,8,1.0400020983070135e-05,SUBOPTIMAL,7,"[1, 3, 2]"
in_house_4_9,standard,21,9,1.300001167692244e-05,SUBOPTIMAL,7,"[1, 0, 2]"
in_house_8_0,standard,42,29,5.3800002206116915e-05,SUBOPTIMAL,17,"[7, 4, 0]"
in_house_8_1,standard,42,25,1.2300006346777081e-05,OPTIMAL,25,"[1, 6, 2, 4]"
in_house_8_10,standard,41,22,1.270000939257443e-05,SUBOPTIMAL,19,"[7, 5, 1]"
in_house_8_11,standard,42,17,1.1900003300979733e-05,SUBOPTIMAL,15,"[5, 2, 3, 4]"
in_house_8_12,standard,41,8,1.0500021744519472e-05,OPTIMAL,8,[5]
in_house_8_13,standard,42,31,1.1600001016631722e-05,SUBOPTIMAL,25,"[5, 0, 7, 1]"
in_house_8_14,standard,42,25,1.3500015484169126e-05,SUBOPTIMAL,23,"[0, 5, 6, 1]"
in_house_8_15,standard,42,18,4.939999780617654e-05,SUBOPTIMAL,17,"[0, 3, 1]"
in_house_8_16,standard,42,21,1.4399993233382702e-05,OPTIMAL,21,"[2, 7, 3]"
in_house_8_17,standard,42,26,1.0399991879239678e-05,SUBOPTIMAL,25,"[6, 0, 7, 1, 3, 5]"
