Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_8_1,standard,61,3,4.980000085197389e-05,SUBOPTIMAL,4,"[2, 1, 2, 3, 1, 3, 2, 4]"
in_house_8_10,standard,66,3,6.160000339150429e-05,SUBOPTIMAL,4,"[1, 2, 1, 2, 3, 1, 4, 3]"
in_house_8_11,standard,96,4,4.0799990529194474e-05,SUBOPTIMAL,5,"[1, 2, 1, 2, 3, 3, 5, 4]"
in_house_8_12,standard,81,4,4.33000095654279e-05,SUBOPTIMAL,5,"[1, 2, 3, 2, 3, 4, 1, 5]"
in_house_8_13,standard,71,3,4.029998672194779e-05,SUBOPTIMAL,4,"[1, 3, 2, 3, 1, 2, 2, 4]"
in_house_8_14,standard,61,3,5.879998207092285e-05,SUBOPTIMAL,4,"[1, 1, 3, 2, 1, 2, 3, 4]"
in_house_8_15,standard,61,3,3.6299985367804766e-05,SUBOPTIMAL,4,"[2, 2, 1, 1, 3, 3, 2, 4]"
in_house_8_16,standard,71,3,6.749999010935426e-05,SUBOPTIMAL,4,"[1, 2, 3, 3, 3, 4, 1, 2]"
in_house_8_17,standard,61,3,3.929997910745442e-05,SUBOPTIMAL,4,"[1, 1, 3, 2, 3, 4, 1, 2]"
in_house_8_18,standard,76,3,3.160000778734684e-05,SUBOPTIMAL,4,"[2, 1, 2, 3, 4, 3, 1, 4]"
in_house_8_19,standard,71,3,5.15999854542315e-05,SUBOPTIMAL,4,"[4, 3, 2, 1, 3, 3, 2, 1]"
in_house_8_2,standard,66,3,5.2000017603859305e-05,SUBOPTIMAL,4,"[3, 2, 1, 2, 1, 1, 3, 4]"
in_house_8_20,standard,61,3,0.0001433999859727919,SUBOPTIMAL,4,"[2, 1, 2, 3, 3, 4, 1, 2]"
in_house_8_21,standard,61,3,5.140001303516328e-05,SUBOPTIMAL,4,"[1, 4, 2, 1, 2, 3, 2, 3]"
in_house_8_22,standard,76,3,3.960001049563289e-05,SUBOPTIMAL,4,"[3, 2, 2, 1, 3, 3, 1, 4]"
in_house_8_23,standard,66,3,3.120000474154949e-05,SUBOPTIMAL,4,"[1, 2, 1, 3, 2, 1, 3, 4]"
in_house_8_24,standard,81,3,3.6699988413602114e-05,SUBOPTIMAL,4,"[3, 1, 3, 1, 3, 2, 4, 2]"
in_house_8_3,standard,71,3,2.5500019546598196e-05,SUBOPTIMAL,4,"[3, 2, 1, 1, 2, 2, 4, 3]"
in_house_8_4,standard,61,3,2.3600005079060793e-05,SUBOPTIMAL,4,"[1, 3, 1, 2, 2, 3, 1, 4]"
in_house_8_5,standard,86,4,3.29999893438071e-05,SUBOPTIMAL,5,"[2, 2, 3, 3, 1, 4, 1, 5]"
in_house_8_6,standard,81,3,4.320000880397856e-05,SUBOPTIMAL,4,"[1, 2, 2, 3, 3, 1, 4, 3]"
