Problem Name,Variant,Size,Optimal Value,Time (s),Result Type,Summary Value,Solution/Error
in_house_8_18,standard,81,3,3.320001997053623e-05,SUBOPTIMAL,4,"[1, 3, 2, 4, 2, 3, 2, 1]"
in_house_8_19,standard,76,4,4.8900023102760315e-05,OPTIMAL,4,"[3, 1, 4, 3, 2, 3, 2, 1]"
in_house_8_2,standard,86,4,4.950002767145634e-05,OPTIMAL,4,"[4, 4, 2, 1, 2, 1, 1, 3]"
in_house_8_20,standard,71,3,3.820005804300308e-05,SUBOPTIMAL,4,"[2, 4, 1, 2, 1, 3, 1, 2]"
in_house_8_21,standard,66,3,7.569999434053898e-05,OPTIMAL,3,"[2, 3, 1, 1, 3, 1, 3, 2]"
in_house_8_22,standard,76,4,3.2400013878941536e-05,OPTIMAL,4,"[4, 2, 2, 1, 1, 1, 2, 3]"
in_house_8_23,standard,61,3,3.830005880445242e-05,OPTIMAL,3,"[2, 3, 2, 3, 2, 1, 1, 3]"
in_house_8_24,standard,66,3,2.629996743053198e-05,SUBOPTIMAL,4,"[1, 3, 2, 1, 2, 3, 2, 4]"
in_house_8_3,standard,71,3,3.7899939343333244e-05,SUBOPTIMAL,4,"[4, 2, 1, 2, 2, 1, 3, 1]"
in_house_8_4,standard,56,3,5.150004290044308e-05,SUBOPTIMAL,4,"[2, 1, 4, 3, 2, 1, 1, 1]"
in_house_8_5,standard,66,4,3.50000336766243e-05,OPTIMAL,4,"[1, 1, 2, 1, 3, 2, 2, 4]"
in_house_8_6,standard,81,3,2.4099950678646564e-05,SUBOPTIMAL,5,"[5, 1, 2, 4, 3, 3, 2, 1]"
in_house_8_7,standard,56,3,3.200001083314419e-05,OPTIMAL,3,"[2, 1, 1, 1, 2, 2, 1, 3]"
in_house_8_8,standard,66,3,2.6999972760677338e-05,OPTIMAL,3,"[1, 3, 3, 1, 1, 2, 2, 3]"
in_house_8_9,standard,81,4,5.3299940191209316e-05,OPTIMAL,4,"[4, 2, 1, 3, 2, 1, 1, 4]"
in_house_9_0,standard,91,4,4.600000102072954e-05,OPTIMAL,4,"[1, 2, 1, 2, 3, 3, 4, 1, 1]"
in_house_9_1,standard,86,3,6.54000323265791e-05,OPTIMAL,3,"[3, 2, 3, 1, 2, 1, 3, 3, 1]"
in_house_9_10,standard,96,4,6.980006583034992e-05,OPTIMAL,4,"[1, 4, 3, 2, 1, 3, 4, 2, 4]"
in_house_9_11,standard,106,5,3.869994543492794e-05,OPTIMAL,5,"[4, 4, 1, 3, 2, 5, 1, 1, 1]"
in_house_9_12,standard,101,4,3.9400067180395126e-05,OPTIMAL,4,"[2, 4, 2, 1, 2, 1, 1, 4, 3]"
in_house_9_13,standard,66,3,4.000007174909115e-05,OPTIMAL,3,"[2, 2, 2, 1, 3, 3, 1, 1, 1]"
in_house_9_14,standard,71,3,8.809997234493494e-05,SUBOPTIMAL,4,"[4, 1, 2, 3, 1, 2, 1, 3, 1]"
in_house_9_15,standard,86,3,3.450002986937761e-05,SUBOPTIMAL,4,"[1, 2, 2, 3, 1, 4, 1, 3, 2]"
in_house_9_16,standard,96,4,3.4800032153725624e-05,OPTIMAL,4,"[2, 1, 3, 3, 1, 3, 4, 1, 2]"
in_house_9_17,standard,96,3,3.0499999411404133e-05,SUBOPTIMAL,4,"[1, 2, 2, 3, 1, 2, 2, 4, 1]"
in_house_9_18,standard,86,4,2.8999987989664078e-05,SUBOPTIMAL,5,"[1, 1, 1, 3, 2, 1, 4, 2, 5]"
in_house_9_19,standard,81,4,3.070000093430281e-05,OPTIMAL,4,"[1, 3, 4, 2, 2, 2, 3, 2, 1]"
in_house_9_2,standard,101,5,3.4499913454055786e-05,OPTIMAL,5,"[3, 2, 1, 1, 5, 2, 3, 4, 1]"
in_house_9_20,standard,86,4,6.84000551700592e-05,OPTIMAL,4,"[3, 1, 2, 4, 2, 1, 3, 3, 2]"
in_house_9_21,standard,96,4,4.109996370971203e-05,OPTIMAL,4,"[1, 2, 1, 2, 3, 4, 1, 3, 2]"
in_house_9_22,standard,76,3,3.829994238913059e-05,SUBOPTIMAL,4,"[1, 4, 2, 3, 2, 1, 2, 3, 1]"
in_house_9_23,standard,96,4,3.590004052966833e-05,OPTIMAL,4,"[1, 1, 3, 4, 2, 3, 2, 4, 1]"
in_house_9_24,standard,76,3,3.5499921068549156e-05,SUBOPTIMAL,4,"[3, 3, 2, 1, 4, 1, 1, 2, 2]"
in_house_9_3,standard,101,4,5.7399971410632133e-05,SUBOPTIMAL,5,"[3, 2, 1, 5, 1, 2, 4, 1, 3]"
in_house_9_4,standard,91,4,4.4899992644786835e-05,SUBOPTIMAL,5,"[2, 2, 4, 1, 5, 3, 3, 1, 1]"
in_house_9_5,standard,111,4,0.00019100005738437176,SUBOPTIMAL,5,"[3, 4, 1, 2, 2, 1, 5, 1, 3]"
in_house_9_6,standard,121,4,3.869994543492794e-05,OPTIMAL,4,"[4, 2, 3, 1, 2, 4, 3, 1, 4]"
in_house_9_7,standard,121,6,4.099996294826269e-05,OPTIMAL,6,"[4, 1, 2, 3, 1, 2, 5, 2, 6]"
in_house_9_8,standard,106,4,4.099996294826269e-05,SUBOPTIMAL,5,"[1, 5, 2, 4, 2, 3, 1, 3, 1]"
in_house_9_9,standard,66,3,6.600003689527512e-05,SUBOPTIMAL,4,"[2, 4, 1, 2, 3, 2, 2, 1, 1]"
